pale spring bud,#ecebbd
pale violet-red,#db7093
peach (crayola),#ffcba4
portland orange,#ff5a36
raspberry glace,#915f6d
resolution blue,#002387
tea rose (rose),#f4c2c2
titanium yellow,#eee600
turquoise green,#a0d6b4
unbleached silk,#ffddca
unmellow yellow,#ff6
up forest green,#014421
vivid tangerine,#ffa089
wild strawberry,#ff43a4
wild watermelon,#fc6c85
air force blue,#5d8aa8
arylide yellow,#e9d66b
azure mist web,#f0ffff
baby blue eyes,#a1caf1
bleu de france,#318ce7
blue (crayola),#1f75fe
blue (munsell),#0093af
blue (pigment),#339
brilliant rose,#ff55a3
bulgarian rose,#480607
cadmium orange,#ed872d
cadmium yellow,#fff600
cal poly green,#1e4d2b
cambridge blue,#a3c1ad
carnation pink,#ffa6c9
celestial blue,#4997d0
cerulean frost,#6d9bc3
cyan (process),#00b7eb
dark byzantium,#5d3954
dark goldenrod,#b8860b
dark raspberry,#872657
dark sea green,#8fbc8f
dark tangerine,#ffa812
dark turquoise,#00ced1
deep champagne,#fad6a5
electric green,#0f0
gray-asparagus,#465945
hookers green,#49796b
la salle green,#087830
lavender blush,#fff0f5
light sky blue,#87cefa
majorelle blue,#6050dc
medium carmine,#af4035
mellow apricot,#f8b878
moonstone blue,#73a9c2
mordant red 19,#ae0c00
nadeshiko pink,#f6adc6
non-photo blue,#a4dded
ou crimson red,#900
pakistan green,#060
pale goldenrod,#eee8aa
pastel magenta,#f49ac2
persian indigo,#32127a
persian orange,#d99058
purple pizzazz,#fe4eda
raspberry pink,#e25098
raspberry rose,#b3446c
robin egg blue,#0cc
safety orange ,#ff6700
screamin green,#76ff7a
shamrock green,#009e60
tickle me pink,#fc89ac
turquoise blue,#00ffef
vivid burgundy,#9f1d35
american rose,#ff033e
android green,#a4c639
antique brass,#cd9575
antique white,#faebd7
banana yellow,#ffe135
blizzard blue,#ace5ee
blue sapphire,#126180
brandeis blue,#0070ff
bright maroon,#c32148
cadmium green,#006b3c
canary yellow,#ffef00
caput mortuum,#592720
carmine (m&p),#d70040
carolina blue,#99badd
carrot orange,#ed9121
catalina blue,#062a78
celadon green,#2f847c
cerulean blue,#2a52be
chrome yellow,#ffa700
columbia blue,#9bddff
crimson glory,#be0032
dark cerulean,#08457e
dark chestnut,#986960
dark lavender,#734f96
deep chestnut,#b94e48
deep sky blue,#00bfff
egyptian blue,#1034a6
electric blue,#7df9ff
electric cyan,#0ff
electric lime,#cf0
flamingo pink,#fc8eac
forest green ,#228b22
golden yellow,#ffdf00
honolulu blue,#007fbf
imperial blue,#002395
indian yellow,#e3a857
islamic green,#009000
jazzberry jam,#a50b5e
kenyan copper,#7c1c05
lavender blue,#ccf
lavender gray,#c4c3d0
lavender mist,#e6e6fa
lavender pink,#fbaed2
lavender rose,#fba0e3
lemon chiffon,#fffacd
light apricot,#fdd5b1
light crimson,#f56991
lincoln green,#195905
magenta (dye),#ca1f7b
medium orchid,#ba55d3
medium purple,#9370db
mellow yellow,#f8de7e
midnight blue,#191970
mikado yellow,#ffc40c
naples yellow,#fada5e
new york pink,#d7837f
olive drab #7,#3c341f
pale cerulean,#9bc4e2
pale chestnut,#ddadaf
pale lavender,#dcd0ff
pastel orange,#ffb347
pastel purple,#b39eb5
pastel violet,#cb99c9
pastel yellow,#fdfd96
pearly purple,#b768a2
persian green,#00a693
phthalo green,#123524
prussian blue,#003153
red (munsell),#f2003c
red (pigment),#ed1c24
rich lavender,#a76bcf
royal fuchsia,#ca2c92
sapphire blue,#0067a5
shocking pink,#fc0fc0
tyrian purple,#66023c
yellow orange,#ffae42
alloy orange,#c46210
antique ruby,#841b2d
banana mania,#fae7b5
big dip ruby,#9c2542
bottle green,#006a4e
bright green,#6f0
burnt orange,#c50
burnt sienna,#e97451
cafe au lait,#a67b5b
carmine pink,#eb4c42
celadon blue,#007ba7
classic rose,#fbcce7
copper penny,#ad6f69
cosmic latte,#fff8e7
cotton candy,#ffbcd9
dark magenta,#8b008b
dark scarlet,#560319
deep carmine,#a9203e
deep fuchsia,#c154c1
deep magenta,#c0c
deep saffron,#f93
dogwood rose,#d71868
earth yellow,#e1a95f
floral white,#fffaf0
french beige,#a67b5b
french lilac,#86608e
fuchsia pink,#f7f
fuchsia rose,#c74375
golden brown,#996515
golden poppy,#fcc200
green-yellow,#adff2f
guppie green,#00ff7f
hansa yellow,#e9d66b
harvest gold,#da9100
hunter green,#355e3b
indigo (dye),#00416a
indigo (web),#4b0082
jungle green,#29ab87
lapis lazuli,#26619c
laurel green,#a9ba9d
light salmon,#ffa07a
light yellow,#ffffe0
medium taupe,#674c47
napier green,#2a8000
navajo white,#ffdead
neon fuchsia,#fe4164
office green,#008000
old lavender,#796878
orange (ryb),#fb9902
pale carmine,#af4035
pale magenta,#f984e5
pansy purple,#78184a
pastel brown,#836953
pastel green,#7d7
paynes grey,#536878
peach-orange,#fc9
peach-yellow,#fadfad
persian blue,#1c39bb
persian pink,#f77fbe
persian plum,#701c1c
persian rose,#fe28a2
phthalo blue,#000f89
pink sherbet,#f78fa7
powder blue ,#b0e0e6
purple heart,#69359c
purple taupe,#50404d
purple (x11),#a020f0
rich carmine,#d70040
royal purple,#7851a9
royal yellow,#fada5e
saddle brown,#8b4513
smokey topaz,#933d41
spring green,#00ff7f
thulian pink,#de6fa1
tiffany blue,#0abab5
trolley grey,#808080
turkish rose,#b57281
usc cardinal,#900
utah crimson,#d3003f
venetian red,#c80815
violet (ryb),#8601af
violet (web),#ee82ee
vivid auburn,#922724
vivid cerise,#da1d81
vivid violet,#9f00ff
yellow-green,#9acd32
yellow (ncs),#ffd300
yellow (ryb),#fefe33
apple green,#8db600
bittersweet,#fe6f5e
black olive,#3b3c36
blue-violet,#8a2be2
boysenberry,#873260
bright pink,#ff007f
burnt umber,#8a3324
cadmium red,#e30022
carmine red,#ff0038
cerise pink,#ec3b83
chinese red,#aa381e
cocoa brown,#d2691e
copper rose,#966
cornell red,#b31b1b
dark orange,#ff8c00
dark orchid,#9932cc
dark salmon,#e9967a
dark sienna,#3c1414
dark violet,#9400d3
dark yellow,#9b870c
deep cerise,#da3287
deep coffee,#704241
desert sand,#edc9af
dodger blue,#1e90ff
dollar bill,#85bb65
ferrari red,#ff2800
french blue,#0072bb
french lime,#cf0
french rose,#f64a8a
fuzzy wuzzy,#c66
ghost white,#f8f8ff
green (ncs),#009f6b
green (ryb),#66b032
hot magenta,#ff1dce
india green,#138808
kelly green,#4cbb17
laser lemon,#fefe22
light brown,#b5651d
light coral,#f08080
light green,#90ee90
light khaki,#f0e68c
light taupe,#b38b6d
mango tango,#ff8243
mauve taupe,#915f6d
medium blue,#0000cd
medium ruby,#aa4069
neon carrot,#ffa343
opera mauve,#b784a7
orange peel,#ff9f00
otter brown,#654321
outer space,#414a4c
oxford blue,#002147
pale copper,#da8a67
pale silver,#c9c0bb
papaya whip,#ffefd5
paris green,#50c878
pastel blue,#aec6cf
pastel gray,#cfcfc4
pastel pink,#dea5a4
persian red,#c33
pink-orange,#f96
radical red,#ff355e
rich maroon,#b03060
rifle green,#414833
rose bonbon,#f9429e
rose madder,#e32636
rose quartz,#aa98a9
rosso corsa,#d40000
royal azure,#0038a8
royal blue ,#4169e1
ruddy brown,#bb6528
salmon pink,#ff91a4
sandy brown,#f4a460
sandy taupe,#967117
sky magenta,#cf71af
smoky black,#100c08
telemagenta,#cf3476
terra cotta,#e2725b
tigers eye,#e08d3c
tractor red,#fd0e35
ultramarine,#120a8f
upsdell red,#ae2029
violet-blue,#324ab2
white smoke,#f5f5f5
alice blue,#f0f8ff
aquamarine,#7fffd4
army green,#4b5320
black bean,#3d0c02
blue-green,#0d98ba
blue (ncs),#0087bd
blue (ryb),#0247fe
bondi blue,#0095b6
bright ube,#d19fe8
brink pink,#fb607f
bubble gum,#ffc1cc
cadet blue,#5f9ea0
cadet grey,#91a3b0
cameo pink,#efbbcc
candy pink,#e4717a
charm pink,#e68fac
china pink,#de6fa1
china rose,#a8516e
chocolate ,#d2691e
congo pink,#f88379
cool black,#002e63
copper red,#cb6d51
coquelicot,#ff3800
coral pink,#f88379
dark brown,#654321
dark coral,#cd5b45
dark green,#013220
dark khaki,#bdb76b
dark taupe,#483c32
davys grey,#555
debian red,#d70a53
deep lilac,#95b
deep peach,#ffcba4
fern green,#4f7942
field drab,#6c541e
flavescent,#f7e98e
han purple,#5218fa
heart gold,#808000
heliotrope,#df73ff
indian red,#cd5c5c
isabelline,#f4f0ec
ku crimson,#e8000d
lawn green,#7cfc00
lemon lime,#e3ff00
light blue,#add8e6
light cyan,#e0ffff
light gray,#d3d3d3
light pink,#ffb6c1
lime green,#32cd32
magic mint,#aaf0d1
mardi gras,#880085
meat brown,#e5b73b
mint cream,#f5fffa
mint green,#98ff98
misty rose,#ffe4e1
mode beige,#967117
moss green,#addfad
neon green,#39ff14
orange-red,#ff4500
pale brown,#987654
pale green,#98fb98
pale taupe,#bc987e
pastel red,#ff6961
peach puff,#ffdab9
pearl aqua,#88d8c0
periwinkle,#ccf
piggy pink,#fddde6
pine green,#01796f
pink pearl,#e7accf
razzmatazz,#e3256b
red-orange,#ff5349
red-violet,#c71585
rich black,#004040
rich lilac,#b666d2
rose ebony,#674846
rose taupe,#905d5d
rosy brown,#bc8f8f
rubine red,#d10056
ruddy pink,#e18e96
seal brown,#321414
slate blue,#6a5acd
slate gray,#708090
spring bud,#a7fc00
steel blue,#4682b4
stormcloud,#4f666a
tango pink,#e4717a
taupe gray,#8b8589
teal green,#00827f
timberwolf,#dbd7d2
tufts blue,#417dc1
tumbleweed,#deaa88
tuscan red,#7c4848
ultra pink,#ff6fff
usafa blue,#004f98
vegas gold,#c5b358
warm black,#004242
waterspout,#a4f4f9
wine dregs,#673147
wood brown,#c19a6b
asparagus,#87a96b
baby blue,#89cff0
baby pink,#f4c2c2
ball blue,#21abcd
beau blue,#bcd4e6
blue bell,#a2a2d0
blue gray,#69c
brick red,#cb4154
burlywood,#deb887
byzantine,#bd33a4
byzantium,#702963
cafe noir,#4b3621
carnelian,#b31b1b
chamoisee,#a0785a
champagne,#fad6a5
cinereous,#98817b
cool grey,#8c92ac
coral red,#ff4040
dandelion,#f0e130
dark blue,#00008b
dark cyan,#008b8b
dark gray,#a9a9a9
dark lava,#483c32
dark pink,#e75480
deep pink,#ff1493
deep ruby,#843f5b
duke blue,#00009c
eton blue,#96c8a2
firebrick,#b22222
gainsboro,#dcdcdc
goldenrod,#daa520
harlequin,#3fff00
lavender ,#e6e6fa
malachite,#0bda51
mauvelous,#ef98aa
maya blue,#73c2fb
msu green,#18453b
navy blue,#000080
old mauve,#673147
pale aqua,#bcd4e6
pale blue,#afeeee
pale gold,#e6be8a
pale pink,#fadadd
pale plum,#dda0dd
patriarch,#800080
persimmon,#ec5800
pink lace,#ffddf4
pistachio,#93c572
raspberry,#e30b5d
raw umber,#826644
red-brown,#a52a2a
red devil,#860111
red (ncs),#c40233
red (ryb),#fe2712
rose gold,#b76e79
rose pink,#f6c
rose vale,#ab4e52
rusty red,#da2c43
sand dune,#967117
sandstorm,#ecd540
sap green,#507d2a
sea green,#2e8b57
skobeloff,#007474
tangerine,#f28500
tea green,#d0f0c0
teal blue,#367588
true blue,#0073cf
turquoise,#30d5c8
ucla blue,#536895
ucla gold,#ffb300
ufo green,#3cd070
up maroon,#7b1113
verdigris,#43b3ae
yale blue,#0f4d92
amaranth,#e52b50
amethyst,#96c
ash grey,#b2beb5
aureolin,#fdee00
barn red,#7c0a02
burgundy,#800020
cardinal,#c41e3a
celeste ,#b2ffff
cerulean,#007ba7
charcoal,#36454f
chestnut,#cd5c5c
cinnabar,#e34234
cinnamon,#d2691e
cordovan,#893f45
cornsilk,#fff8dc
daffodil,#ffff31
dark red,#8b0000
dark tan,#918151
dim gray,#696969
eggplant,#614051
eggshell,#f0ead6
falu red,#801818
fandango,#b53389
feldgrau,#4d5d53
glaucous,#6082b6
han blue,#446ccf
honeydew,#f0fff0
hot pink,#ff69b4
icterine,#fcf75e
inchworm,#b2ec5d
june bud,#bdda57
licorice,#1a1110
limerick,#9dc209
magnolia,#f8f4ff
mahogany,#c04000
moccasin,#faebd7
mulberry,#c54b8c
old gold,#cfb53b
old lace,#fdf5e6
old rose,#c08081
platinum,#e5e4e2
rosewood,#65000b
ruby red,#9b111e
sapphire,#0f52ba
sea blue,#006994
seashell,#fff5ee
sky blue,#87ceeb
urobilin,#e1ad21
usc gold,#fc0
veronica,#a020f0
viridian,#40826d
wisteria,#c9a0dc
apricot,#fbceb1
arsenic,#3b444b
avocado,#568203
bubbles,#e7feff
carmine,#960018
celadon,#ace1af
cg blue,#007aa5
citrine,#e4d00a
crimson,#dc143c
emerald,#50c878
fuchsia,#f0f
fulvous,#e48400
gamboge,#e49b0f
glitter,#e6e8fa
iceberg,#71a6d2
jasmine,#f8de7e
jonquil,#fada5e
magenta,#f0f
manatee,#979aaa
maroon ,#b03060
mustard,#ffdb58
olivine,#9ab973
peridot,#e6e200
pumpkin,#ff7518
rackley,#5d8aa8
redwood,#ab4e52
regalia,#522d80
saffron,#f4c430
sangria,#92000a
scarlet,#ff2400
sinopia,#cb410b
sunglow,#fc3
tangelo,#f94d00
thistle,#d8bfd8
toolbox,#746cc0
ua blue,#03a
vanilla,#f3e5ab
almond,#efdecd
auburn,#a52a2a
bazaar,#98777b
beaver,#9f8170
bisque,#ffe4c4
bistre,#3d2b1f
bronze,#cd7f32
brown ,#a52a2a
cerise,#de3163
cg red,#e03c31
cherry,#de3163
cobalt,#0047ab
coffee,#6f4e37
copper,#b87333
desert,#c19a6b
fallow,#c19a6b
ginger,#b06500
grullo,#a99a86
indigo,#6f00ff
jasper,#d73b3e
khaki ,#c3b091
mantis,#74c365
myrtle,#21421e
orange,#ffa500
orchid,#da70d6
purple,#800080
quartz,#51484f
rufous,#a81c07
russet,#80461b
salmon,#ff8c69
shadow,#8a795d
sienna,#882d17
silver,#c0c0c0
smalt ,#039
stizza,#900
sunset,#fad6a5
tomato,#ff6347
ua red,#d9004c
violet,#8f00ff
xanadu,#738678
yellow,#ff0
zaffre,#0014a8
amber,#ffbf00
azure,#007fff
beige,#f5f5dc
black,#000
blond,#faf0be
blush,#de5d83
brass,#b5a642
cadet,#536872
camel,#c19a6b
capri,#00bfff
coral,#ff7f50
cream,#fffdd0
denim,#1560bd
ebony,#555d50
flame,#e25822
folly,#ff004f
gold ,#ffd700
green,#0f0
ivory,#fffff0
lemon,#fff700
lilac,#c8a2c8
lime ,#bfff00
linen,#faf0e6
liver,#534b4f
maize,#fbec5d
mauve,#e0b0ff
melon,#fdbcb4
ochre,#c72
olive,#808000
peach,#ffe5b4
pearl,#eae0c8
phlox,#df00ff
prune,#701c1c
rajah,#fbab60
ruddy,#ff0028
sepia,#704214
straw,#e4d96f
taupe,#483c32
tawny,#cd5700
topaz,#ffc87c
umber,#635147
wenge,#645452
wheat,#f5deb3
white,#fff
aqua,#0ff
blue,#00f
bole,#79443b
bone,#e3dac9
buff,#f0dc82
ceil,#92a1cf
corn,#fbec5d
cyan,#0ff
drab,#967117
ecru,#c2b280
fawn,#e5aa70
flax,#eedc82
gray,#808080
grey,#808080
iris,#5a4fcf
jade,#00a86b
lava,#cf1020
lion,#c19a6b
lust,#e62020
mint,#3eb489
onyx,#353839
pear,#d1e231
peru,#cd853f
pink,#ffb0bb
plum,#dda0dd
puce,#c89
rose,#ff007f
ruby,#e0115f
rust,#b7410e
sand,#c2b280
snow,#fffafa
teal,#008080
wine,#722f37
ao ,#008000
jet,#343434
red,#f00
tan,#d2b48c
ube,#8878c3
